#SampleID,mean,std
g__Acroloxus,5.1955134e-09,2.6659718e-06
g__Acroperus,3.3452764e-08,6.5384484e-06
g__Acropora,2.9241428e-06,0.0014822965
g__Acrorhynchides,1.2260038e-05,0.0026610177
g__Acrosiphonia,2.6213506e-08,9.116854e-06
g__Acrosphaera,3.4753186e-05,0.0030601013
g__Acrostalagmus,8.1364826e-10,2.9525256e-07
g__Acrostichus,1.4696331e-05,0.001211087
g__Acrosymphyton,9.500159e-09,4.3296664e-06
g__Acrothrix,1.00664245e-07,1.7445878e-05
g__Acrotrichis,2.2025548e-09,6.0331803e-07
g__Acrumena,4.936246e-09,1.3195937e-06
g__Actaea,7.580425e-08,2.2948638e-05
g__Actibacter,0.00032141406,0.0037537832
g__Actibacterium,4.0668725e-05,0.001690056
g__Actimicrobium,3.0487843e-07,8.688888e-05
g__Actinastrum,1.0123518e-07,5.128704e-05
g__Actinella,1.9172417e-08,4.7223266e-06
g__Actinidia,1.56748e-08,6.9938887e-06
g__Actinoallomurus,2.2896456e-05,0.00077024236
g__Actinoalloteichus,1.3835817e-06,5.0830535e-05
g__Actinobacillus,0.00021246605,0.008206365
g__Actinobaculum,1.4739593e-05,0.0010236211
g__Actinocatenispora,3.508251e-06,0.00018172781
g__Actinochloris,3.2583106e-08,6.9974567e-06
g__Actinocorallia,0.0001565232,0.003202386
g__Actinocrinis,1.5703855e-06,0.000108140615
g__Actinocrispum,4.7790616e-10,2.452278e-07
g__Actinocyclus,5.207222e-05,0.0017365809
g__Actinokineospora,4.3739908e-07,4.857056e-05
g__Actinomadura,6.85346e-05,0.0024100593
g__Actinomma,0.00023937551,0.008114299
g__Actinomucor,1.5317795e-08,3.1303775e-06
g__Actinomyces,0.0071727387,0.028963177
g__Actinomycetospora,7.509153e-05,0.0049607824
g__Actinophytocola,4.6332094e-05,0.00087334495
g__Actinoplanes,0.000118355674,0.001806352
g__Actinopolymorpha,6.3203697e-06,0.00017229466
g__Actinopolyspora,5.645385e-07,0.00015462672
g__Actinoposthia,2.1445061e-09,1.1004096e-06
g__Actinoptychus,2.940157e-06,0.00017893683
g__Actinorectispora,9.211472e-08,1.4966248e-05
g__Actinorhabdospora,6.936655e-08,6.0137954e-06
g__Actinospica,3.7245103e-05,0.0026206803
g__Actinosynnema,2.0930238e-09,6.988566e-07
g__Actinotalea,2.5063518e-06,0.00010065638
g__Actinotignum,4.705723e-05,0.002295292
g__Acutalibacter,1.0931149e-07,1.6239284e-05
g__Acuticoccus,6.149155e-06,0.00018980599
g__Acutuncus,2.2787895e-06,0.0006416915
g__Acyclus,2.8482534e-09,1.2327379e-06
g__Acytostelium,9.686496e-09,3.7908628e-06
g__Addisonia,8.6185095e-09,3.3353685e-06
g__Adelina,2.1538655e-07,2.1741173e-05
g__Adelopora,2.5987724e-08,1.2596133e-05
g__Adenoides,2.6086349e-08,4.55921e-06
g__Adenopharynx,1.3897242e-06,0.00023171004
g__Aderus,2.914915e-08,1.4336524e-05
g__Adhaeribacter,0.0006444786,0.005404339
g__Adiantum,5.9950684e-09,1.6848305e-06
g__Adineta,9.918766e-05,0.003503234
g__Adipicola,7.92621e-06,0.0014552416
g__Adlercreutzia,2.2651582e-06,0.00017543654
g__Adoncholaimus,6.4472715e-08,2.2664059e-05
g__Adriamonas,2.2123048e-05,0.0027547972
g__Aduncospiculum,1.0249905e-07,1.09272005e-05
g__Advenella,4.635914e-06,0.000504705
g__Aegagropila,6.7660903e-06,0.00079598214
g__Aegagropilopsis,8.590636e-10,4.4081096e-07
g__Aegilops,5.720069e-06,0.0008491124
g__Aegina,2.190258e-09,6.4998244e-07
g__Aeginetia,1.6686821e-09,8.5625015e-07
g__Aegla,3.04809e-09,1.5640653e-06
g__Aegyria,3.741946e-07,7.2874835e-05
g__Aegyriana,1.2873812e-06,0.00010197398
